"rmoro","2016-08-09 15:11:03 -0400","added config options to force devise pages to use SSL"
"Brian Oh","2016-08-09 13:57:26 -0400","Change body background colour"
"swar8080","2016-08-09 10:38:51 -0400","added atomicity for saving/updating artcicles"
"swar8080","2016-08-09 10:18:57 -0400","added front-end length validations to block fields"
"Mike Roher","2016-08-09 10:04:16 -0400","Remove Comment Form on Abot"
"swar8080","2016-08-09 09:58:59 -0400","Merge branch 'master' of https://github.com/UPOD-2016/upod_app"
"swar8080","2016-08-09 09:58:54 -0400","removed label requirement for equation_block_model for consistency with front-end validations"
"Omid","2016-08-09 06:42:50 -0400","changed the alignment of description for categories and subcategories"
"Omid","2016-08-09 06:36:41 -0400","similar to subcategory page"
"Omid","2016-08-09 06:30:13 -0400","from previous commits"
"Omid","2016-08-09 06:02:41 -0400","from previous commit"
"Omid","2016-08-09 05:55:27 -0400","making description fit one single line"
"Omid","2016-08-09 00:02:06 -0400","From previous commit"
"Omid","2016-08-08 23:57:42 -0400","fixed issue #17"
"swar8080","2016-08-08 13:30:05 -0400","deleted unneeded mathjax files from public folder"
"Omid","2016-08-08 11:18:24 -0400","moved the search bar and logo down abit in the homepage"
"Omid","2016-08-08 11:13:29 -0400","Line seperating articles in subcategory page"
"Omid","2016-08-08 11:06:49 -0400","Changed some of the font sizes"
"Omid","2016-08-08 09:41:26 -0400","missed </div>"
"swar8080","2016-08-08 09:09:52 -0400","fixing diagram width/height and making link blocks editable"
"Omid","2016-08-08 07:22:15 -0400","Fixed the image width exceeding mobile screen width."
"Omid","2016-08-08 04:59:23 -0400","Found the issue with centering"
"Omid","2016-08-08 04:53:49 -0400","From previous commit"
"Omid","2016-08-08 04:47:46 -0400","Cannot seems to center svg properly without cutting off from the height, reversing changes."
"Omid","2016-08-08 04:40:21 -0400","Fixed the previous commit"
"Omid","2016-08-08 04:30:03 -0400","Added a line seperator between content and related articles"
"Omid","2016-08-08 04:12:34 -0400","Fixed the centering of svg diagrams"
"rmoro","2016-08-08 03:01:22 -0400","Merge branch 'master' of https://github.com/UPOD-2016/upod_app"
"rmoro","2016-08-08 03:01:16 -0400","removed article being viewed from related results"
"Omid","2016-08-08 02:55:53 -0400","Aligned the SVG diagrams to fir the page properly. Centered items as suggested using center-block class"
"rmoro","2016-08-08 02:25:46 -0400","Merge branch 'master' of https://github.com/UPOD-2016/upod_app"
"rmoro","2016-08-08 02:25:12 -0400","fixed related pages"
"Kieran O'Driscoll","2016-08-08 04:38:25 +0000","Friendly_id fix will need to run Article.all.map(&:save) to fix previous articles, should fix the problem permanently. Thanks Mike Roher! :)."
"Kieran O'Driscoll","2016-08-08 03:54:07 +0000","Setting the slug with the URL until I can figure how to get the slug to save properly"
"Omid","2016-08-07 20:12:49 -0400","Fixed spacing in categories and subcategories page, centered the diagram block, added some documentation in the styles css file"
"rmoro","2016-08-07 14:40:04 -0400","Cleaned up file, fixed and tested issue #7"
"rmoro","2016-08-07 14:30:07 -0400","Fix logo image resize"
"Mike Roher","2016-08-07 13:18:26 -0400","Fix mobile sign-in form issue"
