"Brian Oh","2016-08-09 21:42:40 -0400","Final Version"
"Brian Oh","2016-08-09 21:42:04 -0400","Final version v.06 (fixed previous edit errors)"
"Brian Oh","2016-08-09 21:30:58 -0400","Merge branch 'master' of https://github.com/UPOD-2016/upod_docs"
"Brian Oh","2016-08-09 21:30:23 -0400","Updated SQA logs"
"Derek Cruise","2016-08-09 19:31:55 -0400","Fixed date inconsistency"
"Derek Cruise","2016-08-09 19:24:06 -0400","SQA revisions"
"Derek Cruise","2016-08-09 19:06:46 -0400","standardized dates to MM/DD/YY"
"Derek Cruise","2016-08-09 19:01:33 -0400","Fixed version number and date"
"Derek Cruise","2016-08-09 18:51:28 -0400","Made SQA changes"
"DDrant717","2016-08-09 18:49:43 -0400","Add files via upload"
"Ryan","2016-08-09 18:45:49 -0400","Fixed Link Issue"
"Ryan","2016-08-09 18:37:20 -0400","Renamed Diagram"
"Ryan","2016-08-09 18:35:00 -0400","Changed Use Case Diagram"
"Brian Oh","2016-08-09 17:46:45 -0400","Updated Analysis Documents v0.2"
"Ryan","2016-08-09 17:40:47 -0400","Clarified a few topics"
"QamarFarooq","2016-08-09 14:14:30 -0400","fixed"
"QamarFarooq","2016-08-09 14:10:46 -0400","Fixed something"
"QamarFarooq","2016-08-09 14:02:28 -0400","I worked on this for many hours but it was scrapped for other enhancements"
"giacrom","2016-08-08 23:07:19 -0400","reset button complete, diagram complete"
"Pillip Lee","2016-08-08 22:46:10 -0400","Update team-info.txt"
"Pillip Lee","2016-08-08 22:36:26 -0400","Modular Version"
"Pillip Lee","2016-08-08 22:32:03 -0400","Add files via upload"
"wu wen","2016-08-08 17:35:36 -0400","Update equalarea.html"
"wu wen","2016-08-08 17:33:41 -0400","Update readme.txt"
"wu wen","2016-08-08 17:33:20 -0400","Create equalarea.js"
"wu wen","2016-08-08 17:32:52 -0400","Create equalarea.html"
"TheCocoManEd","2016-08-08 17:04:22 -0400","Add files via upload"
"Ensieh Mollazadeh","2016-08-08 15:44:52 -0400","Smaller version of concave mirror"
"giacrom","2016-08-08 01:10:35 -0400","Fix collision correctness and button"
"wu wen","2016-08-07 21:33:57 -0400","Create Methods of Inducing Electric Charge"
"Ryan Mak","2016-08-07 14:52:04 -0400","Minor file edits"
"Ryan Mak","2016-08-07 14:04:07 -0400","Minor Text Fixes"
"gstarmvp","2016-08-06 04:58:41 -0400","minify the css sheet"
"swar8080","2016-08-05 14:47:39 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"swar8080","2016-08-05 14:47:21 -0400","article class diagram png upload"
"Joseph","2016-08-05 14:20:32 -0400","Remove the onload call to the animate function from the velocity and acceleration diagram"
"wu wen","2016-08-05 11:37:53 -0400","Update magnetic.html"
"wu wen","2016-08-05 11:36:38 -0400","Update spring.html"
"wu wen","2016-08-05 11:35:44 -0400","Update induction.html"
"wu wen","2016-08-05 11:34:05 -0400","Update contact.html"
"wu wen","2016-08-05 11:33:29 -0400","Update contact.html"
"wu wen","2016-08-05 11:32:43 -0400","Update Friction.html"
"swar8080","2016-08-05 01:02:02 -0400","updated Article class diagram"
"giacrom","2016-08-04 00:03:45 -0400","Update readme.txt"
"giacrom","2016-08-04 00:03:18 -0400","Update elastic_collision.html"
"giacrom","2016-08-04 00:02:46 -0400","Update elastic_collision.js"
"Joseph","2016-08-03 18:38:03 -0400","Combine the css, javascript and svg into one html file for each of the four diagrams in order to integrate them into the UPOD website"
"viss3240","2016-08-03 16:32:03 -0400","Alter projectile motion diagram to fit the 1000 x 1000 demension limit for articles"
"wu wen","2016-08-02 22:21:15 -0400","Update readme.txt"
"wu wen","2016-08-02 22:20:51 -0400","Create magnetic.js"
"wu wen","2016-08-02 22:15:48 -0400","Create magnetic.html"
"chan6240","2016-08-02 21:27:50 -0400","Added additional graphics requirements defects"
"rmoro","2016-08-02 02:41:07 -0400","individual reports for each major section of the code"
"rmoro","2016-08-02 02:34:49 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD_DOCS"
"rmoro","2016-08-02 02:34:41 -0400","Style Guide Report for current UPOD"
"WALLISE WU","2016-07-31 22:12:45 -0400","completed SQA on fundamentals physics research"
"WALLISE WU","2016-07-31 21:49:22 -0400","final copy"
"giacrom","2016-07-31 15:59:45 -0400","Update elastic_collision.svg"
"rmoro","2016-07-30 19:11:51 -0400","added a security report which has suggestions to change code that contains known vulnerabilities"
"Muttahir Zia","2016-07-30 10:14:27 -0400","Added initial SQA review of website"
"wu wen","2016-07-29 19:31:29 -0400","Create readme.txt"
"wu wen","2016-07-29 18:43:26 -0400","Update Diagrams.csv"
"wu wen","2016-07-29 18:36:30 -0400","Update readme.txt"
"wu wen","2016-07-29 18:35:04 -0400","Create induction.js"
"wu wen","2016-07-29 18:32:29 -0400","Create induction.html"
"Mike Roher","2016-07-29 17:27:44 +0000","update readme"
"Mike Roher","2016-07-29 17:09:28 +0000","DELETED RAILS APP FROM THIS REPO - PLEASE USE NEW REPO"
"Mike Roher","2016-07-29 15:42:13 +0000","initial deployment started"
"swar8080","2016-07-29 01:08:37 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"swar8080","2016-07-29 01:08:18 -0400","added a custom text block for including inline equations, started working on a how-to guide for article editor page, fixed bug causing other blocks to not render following a link block"
"stevenlusonggao","2016-07-28 22:26:26 -0400","Minor Tweaks for Hooke's & Reflection Animations"
"romanlipisiy","2016-07-28 21:58:43 -0400","Update Diagrams.csv"
"Roman Lipisiy","2016-07-28 21:57:11 -0400","complete uniform circular motion svg diagram"
"Omid","2016-07-28 18:50:02 -0400","was missing a </div> causing purple background"
"Mike Roher","2016-07-28 21:53:49 +0000","CSS Styling Caused Form Error"
"wu wen","2016-07-28 16:18:15 -0400","Update readme.txt"
"wu wen","2016-07-28 16:17:09 -0400","Create contact.html"
"wu wen","2016-07-28 16:16:10 -0400","Create Contact.js"
"giacrom","2016-07-28 14:41:38 -0400","Update readme.txt"
"giacrom","2016-07-28 14:39:39 -0400","Update elastic_collision.js"
"giacrom","2016-07-28 14:36:48 -0400","Update elastic_collision.svg"
"Ensieh Mollazadeh","2016-07-28 14:26:30 -0400","has added some details to concave mirror"
"Ensieh Mollazadeh","2016-07-28 14:22:26 -0400","has corrected the dragging issue on convex mirror"
"rmoro","2016-07-28 03:36:23 -0400","merge accident"
"rmoro","2016-07-28 03:34:50 -0400","fix merge conflict"
"rmoro","2016-07-28 03:31:29 -0400","made sure the drop down remembers the filter selected.  Added some more filter logic as well."
"Mike Roher","2016-07-28 07:30:11 +0000","Resolve merge conflict"
"Mike Roher","2016-07-28 07:24:13 +0000","Added Title Helper Method, Fixed JS and Started Preparing For Production"
"rmoro","2016-07-28 03:19:25 -0400","added logic to show search results if there is a query.  Filter still needs some work"
"rmoro","2016-07-28 02:40:15 -0400","missed a comma"
"rmoro","2016-07-28 02:06:40 -0400","added logic for search filtration"
"rmoro","2016-07-28 01:51:15 -0400","final change takes care of distortion on mobile (small) screens"
"rmoro","2016-07-28 01:43:47 -0400","old script was left in from testing... removed"
"rmoro","2016-07-28 01:41:31 -0400","changed hackish approach to make sure footer is at bottom of each page even if page has no cotent"
"rmoro","2016-07-28 00:52:37 -0400","made sure static footer is at the bottom of each page"
"rmoro","2016-07-28 00:45:17 -0400","Legal info taking up far to much room.  I changed the footer away from being fixed to fix this issue.  I don't think we are in danger of breaking the law so bad that we must constantly remind users of our legal policy."
"rmoro","2016-07-27 23:32:13 -0400","changed from ` (function($, window){` to `  $(function($, window){` becuase the $ means it waits for the page to load (or in js `$(document).ready(){` )"
"rmoro","2016-07-27 23:08:31 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"rmoro","2016-07-27 23:08:23 -0400","moved the script to only be in one file"
"kcolletripp","2016-07-27 22:45:06 -0400","redid fixed footer, needs a sticky footer"
"Omid","2016-07-27 22:12:56 -0400","made the categories button resizable by text length"
"kcolletripp","2016-07-27 21:28:52 -0400","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"kcolletripp","2016-07-27 21:28:37 -0400","added legal info"
"Omid","2016-07-27 21:24:00 -0400","Added some space between the elements"
"rmoro","2016-07-27 21:04:00 -0400","fixed the sizing of the select_tag element"
"Omid","2016-07-27 20:44:59 -0400","Made the categories index page look similar to the homepage, fixed the categories page added the subcategories links in it and styled it abit. made the sign in, sign out, forgot password,resend confirmation pages look less ugly, fixed the issue of the header with mobile browsers (where the header would not collapse). Articles would not show up in their respective subcategories, now they do."
"viss3240","2016-07-27 14:38:34 -0400","Add documentation for ProjectileMotion and VectorMath SVG diagrams"
"viss3240","2016-07-27 12:43:52 -0400","Update readme.txt"
"Roman Lipisiy","2016-07-26 22:42:00 -0400","fix animation"
"Jimmyqlx","2016-07-26 16:29:44 -0400","pagerank algorithm in ruby"
"Roman Lipisiy","2016-07-26 15:12:12 -0400","Create circular motion svg"
"josephvannelli","2016-07-26 13:36:41 -0400","Update Diagrams.csv"
"Joseph","2016-07-26 13:31:27 -0400","Create the distance vs. displacement diagram"
"Mike Roher","2016-07-26 03:03:30 -0400","Update update_stats.sh"
"Mike Roher","2016-07-26 05:47:00 +0000","Merge branch 'master' of github.com:UPOD-2016/UPOD"
"Mike Roher","2016-07-26 05:46:45 +0000","Added ability to edit images in posts and made alerts/notices look nicer"
"Kieran O'Driscoll","2016-07-26 05:34:59 +0000","Minor changes to dashboards"
"Kieran O'Driscoll","2016-07-26 05:24:06 +0000","Minor fixes to dashboards"
"Kieran O'Driscoll","2016-07-26 05:18:55 +0000","Dashboard improvements"
"Omid","2016-07-26 01:02:27 -0400","Formatted the article page a little bit."
"Kieran O'Driscoll","2016-07-26 04:57:51 +0000","Clean up admin panel, hide unnessecary dashboards"
"Kieran O'Driscoll","2016-07-26 04:00:28 +0000","Merge branch 'master' of https://github.com/UPOD-2016/UPOD"
"Kieran O'Driscoll","2016-07-26 04:00:02 +0000","undoing changes didnt work as expected"
"Omid","2016-07-25 23:54:51 -0400","Included a table-like structure for the articles index page. Fixed the header. Fixed the thumbnails and captions on homepage and made the search by category button visible."
"Kieran O'Driscoll","2016-07-26 03:46:56 +0000","Restrict routing on admin panel"
"Kieran O'Driscoll","2016-07-26 03:43:33 +0000","fix validations, remove unneeded validations"
"Kieran O'Driscoll","2016-07-26 03:23:54 +0000","fix admin panel error and spelling mistake"
